넯	20
넰	20
넱	20
넲	20
넳	20
넶	20
넸	1800
녂	20
녃	20
녅	20
녆	20
녉	20
녊	20
녋	20
녌	20
녍	20
녎	20
녏	20
녒	20
녔	1800
녜	1800
녝	20
녞	20
녟	20
녠	1800
녡	20
녢	20
녣	20
녤	20
녥	20
녦	20
녧	20
녨	20
녩	20
녪	20
녫	20
녬	20
녭	20
녮	20
녯	20
녰	20
녱	20
녲	20
녳	20
녴	20
녵	20
녶	20
녷	20
녺	20
녻	20
녽	20
녾	20
놁	20
놂	1800
놃	20
놄	20
놅	20
놆	20
놇	20
놊	20
놌	20
놔	1800
놕	20
놖	20
놗	20
놘	1800
놙	20
놚	20
놛	20
놜	1800
놝	20
놞	20
놟	20
놠	20
놡	20
놢	20
놣	20
놤	20
놥	20
놦	20
놧	20
놨	1800
놩	20
놪	20
놫	20
놬	20
놭	20
놮	20
놯	20
놰	20
놱	20
놲	20
놳	20
놴	20
놵	20
놶	20
놷	20
놸	20
놹	20
놺	20
놻	20
놼	20
놽	20
놾	20
놿	20
뇀	20
뇁	20
뇂	20
뇃	20
뇄	20
뇅	20
뇆	20
뇇	20
뇈	20
뇉	20
뇊	20
뇋	20
뇌	1800
뇍	20
뇎	20
뇏	20
뇐	1800
뇑	20
뇒	20
뇓	20
뇔	1800
뇕	20
뇖	20
뇗	20
뇘	20
뇙	20
뇚	20
뇛	20
뇜	1800
뇝	1800
뇞	20
뇟	1800
뇠	20
뇡	20
뇢	20
뇣	20
뇤	20
뇥	20
뇦	20
뇧	20
뇪	20
뇫	20
뇭	20
뇮	20
뇱	20
뇲	20
뇳	20
뇴	20
뇵	20
뇶	20
뇷	20
뇺	20
뇼	20
눆	20
눇	20
눉	20
눊	20
눍	20
눎	20
눏	20
눐	20
눑	20
눒	20
눓	20
눖	20
눘	20
눠	1800
눡	20
눢	20
눣	20
눤	20
눥	20
눦	20
눧	20
눨	20
눩	20
눪	20
눫	20
눬	20
눭	20
눮	20
눯	20
눰	20
눱	20
눲	20
눳	20
눴	1800
눵	20
눶	20
눷	20
눸	20
눹	20
눺	20
눻	20
눼	1800
눽	20
눾	20
눿	20
뉀	20
뉁	20
뉂	20
뉃	20
뉄	20
뉅	20
뉆	20
뉇	20
뉈	20
뉉	20
뉊	20
뉋	20
뉌	20
뉍	20
뉎	20
뉏	20
뉐	20
뉑	20
뉒	20
뉓	20
뉔	20
뉕	20
뉖	20
뉗	20
뉘	1800
뉙	20
뉚	20
뉛	20
뉜	1800
뉝	20
뉞	20
뉟	20
뉠	1800
뉡	20
뉢	20
뉣	20
뉤	20
뉥	20
뉦	20
뉧	20
뉨	1800
뉩	1800
뉪	20
뉫	20
뉬	20
뉭	20
뉮	20
뉯	20
뉰	20
뉱	20
뉲	20
뉳	20
뉶	20
뉷	20
뉹	20
뉺	20
뉽	20
뉾	20
뉿	20
늀	20
늁	20
늂	20
늃	20
늆	20
늈	20
늒	20
늓	20
늕	20
늖	20
늙	1800
늚	1800
늛	20
늜	20
늝	20
늞	20
늟	20
늢	20
늤	20
늬	1800
늭	20
늮	20
늯	20
늰	1800
늱	20
늲	20
늳	20
늴	1800
늵	20
늶	20
늷	20
늸	20
늹	20
늺	20
늻	20
늼	20
늽	20
늾	20
늿	20
닀	20
닁	20
닂	20
닃	20
닄	20
닅	20
닆	20
닇	20
닊	20
닋	20
닍	20
닎	20
닑	20
닒	1800
닓	20
닔	20
닕	20
닖	20
닗	20
닚	20
닜	20
닦	1800
닧	20
닩	20
닪	20
닭	1800
닮	1800
닯	1800
닰	20
닱	20
닲	20
닳	1800
닶	20
닸	1800
댂	20
댃	20
댅	20
댆	20
댉	20
댊	20
댋	20
댌	20
댍	20
댎	20
댏	20
댒	20
댔	1800
댞	20
댟	20
댡	20
댢	20
댥	20
댦	20
댧	20
댨	20
댩	20
댪	20
댫	20
댮	20
댰	20
댸	20
댹	20
댺	20
댻	20
댼	20
댽	20
댾	20
댿	20
덀	20
덁	20
덂	20
덃	20
덄	20
덅	20
덆	20
덇	20
덈	20
덉	20
덊	20
덋	20
덌	20
덍	20
덎	20
덏	20
덐	20
덑	20
덒	20
덓	20
덖	1800
덗	20
덙	20
덚	20
덝	20
덞	1800
덟	1800
덠	20
덡	20
덢	20
덣	20
덦	20
덨	20
덲	20
덳	20
덵	20
덶	20
덹	20
덺	20
덻	20
덼	20
덽	20
덾	20
덿	20
뎂	20
뎄	1800
